PLAYER,TEAM,AGE,GP,MIN,DEFLECTIONS,"DEF LOOSE BALLS
RECOVERED","CHARGES
DRAWN","CONTESTED
2PT SHOTS","CONTESTED
3PT SHOTS"
Trae Young,ATL,20,81,30.9,1.3,0.8,0.05,2.2,3
Treveon Graham,BKN,25,35,20.4,0.5,0.6,0.14,3.2,2.3
Trevon Duval,HOU,20,3,1.9,0,0.3,0,0.3,0
Trevor Ariza,WAS,33,69,34,2.4,0.7,0.03,2.6,2.9
Trey Burke,DAL,26,58,19.4,0.9,0.4,0,2,2
Trey Lyles,DEN,23,64,17.5,0.6,0.3,0.02,3.7,2.2
Tristan Thompson,CLE,28,43,27.9,0.8,0.6,0.02,5.8,1.9
Troy Brown Jr.,WAS,19,52,14,0.8,0.3,0.04,1.5,1.8
Troy Caupain,ORL,23,4,3.9,0,0.3,0,0.3,0.5
Troy Daniels,PHX,27,51,14.9,0.7,0.3,0.02,1.2,1.4
Troy Williams,SAC,24,21,14.9,0.9,0.4,0,1.4,1.8
Tyler Cavanaugh,UTA,25,11,3.6,0,0.2,0,0.6,0.1
Tyler Davis,OKC,22,1,0.9,0,0,0,1,0
Tyler Dorsey,MEM,23,48,14.5,0.7,0.3,0,1.4,1.8
Tyler Johnson,PHX,27,57,26.8,1.5,0.8,0.07,3.3,3.4
Tyler Lydon,DEN,23,25,3.7,0.1,0,0,0.5,0.4
Tyler Ulis,CHI,23,1,0.8,0,0,0,0,0
Tyler Zeller,MEM,29,6,15.5,0.2,0,0.17,3.5,2.2
Tyreke Evans,IND,29,69,20.3,1.4,0.6,0.06,2,2.2
Tyrone Wallace,LAC,25,62,10.1,0.5,0.2,0,1.1,1.1
Tyson Chandler,LAL,36,55,15.9,0.5,0.2,0.02,5.1,0.9
Tyus Jones,MIN,23,68,22.9,1.9,0.6,0.06,1.7,2.3
Udonis Haslem,MIA,39,10,7.5,0.4,0.2,0.2,1.4,0.2
Victor Oladipo,IND,27,36,31.9,2.8,1.2,0.36,3.1,4.9
Vince Carter,ATL,42,76,17.5,1.1,0.3,0.08,1.8,2.1
Vincent Edwards,HOU,23,2,7.9,0,0,0,0.5,1.5
Wade Baldwin IV,POR,23,16,5.9,0.5,0.1,0,0.7,1.1
Walter Lemon Jr.,CHI,26,6,27.9,3.3,0.8,0.17,2.5,2.8
Wayne Ellington,DET,31,53,24.5,1.3,0.6,0,2.4,2.4
Wayne Selden,CHI,24,75,19.2,0.7,0.3,0.07,2,2.3
Wendell Carter Jr.,CHI,20,44,25.2,1.2,0.5,0,8.4,2.2
Wes Iwundu,ORL,24,68,18.1,0.9,0.3,0.01,2.4,1.9
Wesley Johnson,WAS,31,38,14.1,0.9,0.3,0,2,1.6
Wesley Matthews,IND,32,69,30.3,1.5,0.6,0.1,3,2.7
Will Barton,DEN,28,43,27.7,1.2,0.2,0,2.9,2.6
Willie Cauley-Stein,SAC,25,81,27.3,2.2,0.4,0.02,6.5,2.1
Willy Hernangomez,CHA,25,58,14,0.5,0.3,0,4.5,1
Wilson Chandler,LAC,32,51,23.1,0.8,0.3,0,3.6,2.4
Yante Maten,MIA,22,2,6.5,1,0,0,2,2.5
Yogi Ferrell,SAC,26,71,15,0.8,0.2,0.1,0.9,1.3
Yuta Watanabe,MEM,24,15,11.6,0.6,0.2,0.07,1.7,1.5
Zach Collins,POR,21,77,17.6,0.6,0.2,0,6.1,2
Zach LaVine,CHI,24,63,34.5,1.6,0.5,0,2.6,3.9
Zach Lofton,DET,26,1,3.8,0,0,0,0,0
Zaza Pachulia,DET,35,68,12.9,1,0.2,0.06,3.4,1.1
Zhaire Smith,PHI,20,6,18.4,0.7,0.2,0,3.2,1.3
Zhou Qi,HOU,23,1,1,0,0,0,0,0
